epoch,loss,lr,tps_epoch,tokens
0,10.800800,0.00010000,352.077,468
1,10.807800,0.00009947,678.565,468
2,10.772500,0.00009703,351.568,468
3,10.768400,0.00004852,509.209,468
4,10.786200,0.00004852,647.440,468
5,10.740400,0.00004852,92.429,468
6,10.748300,0.00004852,406.500,468
7,10.799100,0.00004852,1779.428,468
8,10.781600,0.00002426,438.975,468
9,10.761500,0.00002426,662.477,468
10,10.729500,0.00002426,415.023,468
11,10.736400,0.00001213,474.188,468
12,10.626900,0.00001213,453.416,468
13,10.732300,0.00001213,424.941,468
14,10.757400,0.00001213,567.781,468
15,10.730100,0.00001000,406.327,468
16,10.720700,0.00001000,550.140,468
17,10.726200,0.00001000,515.417,468
18,10.715300,0.00001000,435.241,468
19,10.703600,0.00001000,428.010,468
20,10.668600,0.00001000,89.866,468
21,10.759200,0.00001000,672.957,468
22,10.659400,0.00001000,153.573,468
23,10.654800,0.00001000,154.413,468
24,10.652800,0.00001000,166.322,468
25,10.649000,0.00001000,163.281,468
26,10.671900,0.00001000,152.505,468
27,10.639400,0.00001000,155.619,468
28,10.636100,0.00001000,168.910,468
29,10.634400,0.00001000,162.037,468
30,10.629900,0.00001000,157.039,468
31,10.652400,0.00001000,165.477,468
32,10.623000,0.00001000,162.920,468
33,10.644400,0.00001000,161.503,468
34,10.644600,0.00001000,155.819,468
35,10.633800,0.00001000,146.982,468
36,10.606200,0.00001000,163.708,468
37,10.601300,0.00001000,170.153,468
38,10.618800,0.00001000,170.801,468
39,10.590200,0.00001000,157.382,468
