epoch,loss,lr,tps_epoch,tokens
0,10.806400,0.00010000,234.590,1898
1,10.802000,0.00009800,341.664,1898
2,10.672300,0.00008991,318.249,1898
3,10.743700,0.00007591,346.987,1898
4,10.672700,0.00005970,295.089,1898
5,10.604000,0.00002985,243.636,1898
6,10.783200,0.00002985,400.793,1898
7,10.719000,0.00002533,250.400,1898
8,10.752000,0.00001266,264.249,1898
9,10.796000,0.00001266,282.875,1898
10,10.757200,0.00001266,249.406,1898
11,10.715900,0.00001000,295.690,1898
12,10.658600,0.00001000,285.034,1898
13,10.534700,0.00001000,245.361,1898
14,10.500000,0.00001000,350.954,1898
15,10.355100,0.00001000,269.358,1898
16,9.722900,0.00001000,321.543,1898
17,10.748800,0.00001000,297.004,1898
18,10.280600,0.00001000,265.024,1898
19,6.713100,0.00001000,10.423,1898
