epoch,loss,lr,tps_epoch,tokens
0,10.824893,0.00010000,20.271,468
1,10.824867,0.00009800,21.597,468
2,10.824855,0.00008991,18.880,468
3,10.824697,0.00004495,20.846,468
4,10.824695,0.00004495,20.073,468
5,10.824660,0.00004495,20.941,468
6,10.824660,0.00002248,20.492,468
7,10.824658,0.00002248,20.778,468
8,10.824658,0.00001982,20.825,468
9,10.824658,0.00001000,20.630,468
10,10.823924,0.00001000,21.086,468
0,10.824893,0.00010000,20.743,468
1,10.824867,0.00009800,20.683,468
2,10.824855,0.00008991,21.352,468
3,10.824697,0.00004495,21.301,468
4,10.824695,0.00004495,21.128,468
5,10.824660,0.00004495,19.607,468
6,10.824660,0.00002248,20.236,468
7,10.824658,0.00002248,20.783,468
8,10.824658,0.00001982,19.653,468
9,10.824658,0.00001000,20.635,468
10,10.823924,0.00001000,20.584,468
11,10.823924,0.00001000,21.431,468
12,10.823924,0.00001000,21.380,468
13,10.823924,0.00001000,21.194,468
14,10.823924,0.00001000,21.423,468
15,10.823924,0.00001000,21.523,468
16,10.823918,0.00001000,19.973,468
17,10.823918,0.00001000,20.910,468
18,10.823918,0.00001000,21.017,468
19,10.823918,0.00001000,21.015,468
