epoch,loss,lr,tps_epoch,tokens
0,3.799500,0.00010000,173.906,1898
1,3.811900,0.00009947,539.961,1898
2,3.575100,0.00009703,370.604,1898
3,3.584900,0.00009176,510.617,1898
4,3.682800,0.00008368,402.436,1898
5,3.817300,0.00004184,603.909,1898
6,3.649900,0.00004184,412.132,1898
7,3.664500,0.00004184,544.406,1898
8,3.581600,0.00002092,548.380,1898
9,3.636500,0.00002092,575.416,1898
10,3.641500,0.00002092,418.188,1898
11,3.330200,0.00001046,392.167,1898
12,3.614900,0.00001046,543.111,1898
13,3.577800,0.00001046,545.884,1898
14,3.596300,0.00001000,525.976,1898
15,3.573200,0.00001000,586.780,1898
16,3.578700,0.00001000,547.875,1898
17,3.601300,0.00001000,483.010,1898
18,3.568800,0.00001000,652.185,1898
19,3.565800,0.00001000,488.952,1898
20,3.549900,0.00001000,685.880,1898
21,3.572400,0.00001000,563.987,1898
22,3.280100,0.00001000,390.092,1898
23,3.558200,0.00001000,623.616,1898
24,3.532200,0.00001000,567.186,1898
25,3.304500,0.00001000,387.380,1898
26,3.254300,0.00001000,416.140,1898
27,3.370300,0.00001000,444.060,1898
28,3.556500,0.00001000,382.754,1898
29,3.253400,0.00001000,323.555,1898
30,3.539400,0.00001000,690.904,1898
31,3.218000,0.00001000,393.635,1898
32,3.610600,0.00001000,611.125,1898
33,3.491200,0.00001000,440.755,1898
34,3.502100,0.00001000,512.386,1898
35,3.234200,0.00001000,254.479,1898
36,3.225000,0.00001000,166.613,1898
37,3.222900,0.00001000,165.248,1898
38,3.216500,0.00001000,166.250,1898
39,3.205900,0.00001000,158.115,1898
