epoch,loss,lr,tps_epoch,tokens
0,3.841800,0.00010000,396.552,1898
1,3.807400,0.00009800,584.390,1898
2,3.740000,0.00008991,612.506,1898
3,3.696400,0.00007591,464.845,1898
4,3.512700,0.00005970,211.940,1898
5,3.465700,0.00004499,160.313,1898
6,3.423700,0.00003350,159.654,1898
7,3.394700,0.00002533,161.144,1898
8,3.369900,0.00001982,161.677,1898
9,3.595300,0.00001621,248.558,1898
10,3.657700,0.00001389,530.822,1898
11,3.595600,0.00001000,538.318,1898
12,3.599600,0.00001000,666.810,1898
13,3.594500,0.00001000,659.825,1898
14,3.577800,0.00001000,577.279,1898
15,3.585500,0.00001000,615.815,1898
16,3.578200,0.00001000,542.111,1898
17,3.396600,0.00001000,554.778,1898
18,3.574800,0.00001000,505.982,1898
19,3.556200,0.00001000,461.607,1898
