epoch,loss,lr,tps_epoch,tokens
0,10.874600,0.00010000,122.564,468
1,10.802600,0.00009947,152.092,468
2,10.776600,0.00009703,152.520,468
3,10.738300,0.00009176,153.808,468
4,10.721300,0.00008368,150.793,468
5,10.697900,0.00007369,151.702,468
6,10.732800,0.00003685,152.727,468
7,10.689800,0.00003685,159.348,468
8,10.707300,0.00003685,158.714,468
9,10.648300,0.00001842,158.732,468
10,10.642500,0.00001842,158.348,468
11,10.638800,0.00001842,156.643,468
12,10.662300,0.00001000,154.275,468
13,10.632700,0.00001000,154.131,468
14,10.626000,0.00001000,152.742,468
15,10.628300,0.00001000,152.725,468
16,10.647600,0.00001000,156.931,468
17,10.620200,0.00001000,151.288,468
18,10.619100,0.00001000,151.916,468
19,10.617300,0.00001000,156.600,468
20,10.609800,0.00001000,156.397,468
21,10.610900,0.00001000,157.320,468
22,10.603800,0.00001000,152.902,468
23,10.605200,0.00001000,152.812,468
24,10.604700,0.00001000,151.195,468
25,10.601500,0.00001000,153.470,468
26,10.599500,0.00001000,150.399,468
27,10.599300,0.00001000,149.216,468
28,10.592400,0.00001000,151.918,468
29,10.592400,0.00001000,133.052,468
30,10.590500,0.00001000,148.623,468
31,10.587100,0.00001000,150.618,468
32,10.710700,0.00001000,149.782,468
33,10.582800,0.00001000,148.444,468
34,10.581100,0.00001000,147.952,468
35,10.577300,0.00001000,147.099,468
36,10.574400,0.00001000,147.275,468
37,10.570100,0.00001000,146.731,468
38,10.568600,0.00001000,148.699,468
39,10.568200,0.00001000,156.008,468
