epoch,loss,lr,tps_epoch,tokens
0,6.239000,0.00010000,98.372,468
1,6.211300,0.00009947,104.438,468
2,6.194700,0.00009703,106.854,468
3,6.159700,0.00009176,93.911,468
4,6.136800,0.00008368,107.135,468
5,6.108800,0.00007369,107.998,468
6,6.086000,0.00006307,106.273,468
7,6.078000,0.00005292,99.182,468
8,6.057500,0.00004395,108.199,468
9,6.051700,0.00003644,105.691,468
10,6.038900,0.00001822,109.710,468
11,6.033500,0.00001822,99.574,468
12,6.030700,0.00001822,104.628,468
13,6.024000,0.00001000,110.698,468
14,6.026100,0.00001000,108.755,468
15,6.021000,0.00001000,97.808,468
16,6.018900,0.00001000,109.033,468
17,6.016400,0.00001000,106.900,468
18,6.016500,0.00001000,103.990,468
19,6.000800,0.00001000,94.859,468
20,6.007600,0.00001000,109.532,468
21,6.006500,0.00001000,109.179,468
22,6.004900,0.00001000,108.232,468
23,5.997800,0.00001000,99.302,468
24,5.997100,0.00001000,104.364,468
25,5.990700,0.00001000,109.927,468
26,5.993400,0.00001000,107.010,468
27,5.990900,0.00001000,96.539,468
28,5.989000,0.00001000,104.056,468
29,5.986700,0.00001000,97.441,468
30,5.981500,0.00001000,109.896,468
31,9.913000,0.00001000,98.505,468
32,23.025600,0.00001000,107.204,468
33,23.025600,0.00001000,106.205,468
34,23.025600,0.00001000,106.188,468
35,23.025600,0.00001000,95.877,468
36,23.025600,0.00001000,108.843,468
37,23.025600,0.00001000,110.275,468
38,23.025600,0.00001000,110.713,468
39,23.025600,0.00001000,98.741,468
